Product ID,Date,Location,On Hand Qty,Unit Cost,On Hand Value
Product 5,6/9/2014,Whse 1,10,34.15,341.5
Product 5,6/9/2014,Whse 2,0,34.15,0
Product 5,6/9/2014,Whse 4,63,34.15,2151.45
Product 5,6/9/2014,Whse 7,0,34.15,0
Product 5,6/9/2014,Whse 8,0,34.15,0
Product 5,6/10/2014,Whse 1,10,34.15,341.5
Product 5,6/10/2014,Whse 2,0,34.15,0
Product 5,6/10/2014,Whse 4,63,34.15,2151.45
Product 5,6/10/2014,Whse 7,0,34.15,0
Product 5,6/10/2014,Whse 8,0,34.15,0
Product 5,6/11/2014,Whse 1,10,34.15,341.5
Product 5,6/11/2014,Whse 2,0,34.15,0
Product 5,6/11/2014,Whse 4,63,34.15,2151.45
Product 5,6/11/2014,Whse 7,0,34.15,0
Product 5,6/11/2014,Whse 8,0,34.15,0
Product 5,6/12/2014,Whse 1,10,34.15,341.5
Product 5,6/12/2014,Whse 2,0,34.15,0
Product 5,6/12/2014,Whse 4,63,34.15,2151.45
Product 5,6/12/2014,Whse 7,0,34.15,0
Product 5,6/12/2014,Whse 8,0,34.15,0
Product 5,6/13/2014,Whse 1,10,34.15,341.5
Product 5,6/13/2014,Whse 2,0,34.15,0
Product 5,6/13/2014,Whse 4,63,34.15,2151.45
Product 5,6/13/2014,Whse 7,0,34.15,0
Product 5,6/13/2014,Whse 8,0,34.15,0
Product 5,6/16/2014,Whse 1,10,34.15,341.5
Product 5,6/16/2014,Whse 2,0,34.15,0
Product 5,6/16/2014,Whse 4,63,34.15,2151.45
Product 5,6/16/2014,Whse 7,0,34.15,0
Product 5,6/16/2014,Whse 8,0,34.15,0
Product 5,6/17/2014,Whse 1,10,34.15,341.5
Product 5,6/17/2014,Whse 2,0,34.15,0
Product 5,6/17/2014,Whse 4,63,34.15,2151.45
Product 5,6/17/2014,Whse 7,0,34.15,0
Product 5,6/17/2014,Whse 8,0,34.15,0
Product 5,6/18/2014,Whse 1,10,34.15,341.5
Product 5,6/18/2014,Whse 2,0,34.15,0
Product 5,6/18/2014,Whse 4,56,34.15,1912.4
Product 5,6/18/2014,Whse 7,0,34.15,0
Product 5,6/18/2014,Whse 8,0,34.15,0
Product 5,6/19/2014,Whse 1,10,34.15,341.5
Product 5,6/19/2014,Whse 2,0,34.15,0
Product 5,6/19/2014,Whse 4,48,34.15,1639.2
Product 5,6/19/2014,Whse 7,0,34.15,0
Product 5,6/19/2014,Whse 8,0,34.15,0
Product 5,6/20/2014,Whse 1,6,34.15,204.9
Product 5,6/20/2014,Whse 2,0,34.15,0
Product 5,6/20/2014,Whse 4,26,34.15,887.9
Product 5,6/20/2014,Whse 7,0,34.15,0
Product 5,6/20/2014,Whse 8,0,34.15,0
Product 5,6/23/2014,Whse 1,0,34.15,0
Product 5,6/23/2014,Whse 2,0,34.15,0
Product 5,6/23/2014,Whse 4,15,34.15,512.25
Product 5,6/23/2014,Whse 7,0,34.15,0
Product 5,6/23/2014,Whse 8,0,34.15,0
Product 5,6/24/2014,Whse 1,0,34.15,0
Product 5,6/24/2014,Whse 2,0,34.15,0
Product 5,6/24/2014,Whse 4,15,34.15,512.25
Product 5,6/24/2014,Whse 7,0,34.15,0
Product 5,6/24/2014,Whse 8,0,34.15,0
Product 5,6/25/2014,Whse 1,0,34.15,0
Product 5,6/25/2014,Whse 2,0,34.15,0
Product 5,6/25/2014,Whse 4,15,34.15,512.25
Product 5,6/25/2014,Whse 7,0,34.15,0
Product 5,6/25/2014,Whse 8,0,34.15,0
Product 5,6/26/2014,Whse 1,0,34.15,0
Product 5,6/26/2014,Whse 2,0,34.15,0
Product 5,6/26/2014,Whse 4,15,34.15,512.25
Product 5,6/26/2014,Whse 7,0,34.15,0
Product 5,6/26/2014,Whse 8,0,34.15,0
Product 5,6/27/2014,Whse 1,0,34.15,0
Product 5,6/27/2014,Whse 2,0,34.15,0
Product 5,6/27/2014,Whse 4,15,34.15,512.25
Product 5,6/27/2014,Whse 7,0,34.15,0
Product 5,6/27/2014,Whse 8,0,34.15,0
Product 5,6/30/2014,Whse 1,0,34.15,0
Product 5,6/30/2014,Whse 2,0,34.15,0
Product 5,6/30/2014,Whse 4,15,34.15,512.25
Product 5,6/30/2014,Whse 7,0,34.15,0
Product 5,6/30/2014,Whse 8,0,34.15,0
Product 2,6/2/2014,Whse 1,0,34.15,0
Product 2,6/2/2014,Whse 2,0,34.15,0
Product 2,6/2/2014,Whse 4,28,34.15,956.2
Product 2,6/2/2014,Whse 7,0,34.15,0
Product 2,6/2/2014,Whse 8,8,34.15,273.2
Product 2,6/4/2014,Whse 1,0,34.15,0
Product 2,6/4/2014,Whse 2,0,34.15,0
Product 2,6/4/2014,Whse 4,28,34.15,956.2
Product 2,6/4/2014,Whse 7,0,34.15,0
Product 2,6/4/2014,Whse 8,8,34.15,273.2
Product 2,6/5/2014,Whse 1,0,34.15,0
Product 2,6/5/2014,Whse 2,0,34.15,0
Product 2,6/5/2014,Whse 4,28,34.15,956.2
Product 2,6/5/2014,Whse 7,0,34.15,0
Product 2,6/5/2014,Whse 8,0,34.15,0
Product 2,6/6/2014,Whse 1,0,34.15,0
Product 2,6/6/2014,Whse 2,0,34.15,0
Product 2,6/6/2014,Whse 4,28,34.15,956.2
Product 2,6/6/2014,Whse 7,0,34.15,0
Product 2,6/6/2014,Whse 8,0,34.15,0
Product 2,6/9/2014,Whse 1,0,34.15,0
Product 2,6/9/2014,Whse 2,0,34.15,0
Product 2,6/9/2014,Whse 4,28,34.15,956.2
Product 2,6/9/2014,Whse 7,0,34.15,0
Product 2,6/9/2014,Whse 8,0,34.15,0
Product 2,6/10/2014,Whse 1,0,34.15,0
Product 2,6/10/2014,Whse 2,0,34.15,0
Product 2,6/10/2014,Whse 4,28,34.15,956.2
Product 2,6/10/2014,Whse 7,0,34.15,0
Product 2,6/10/2014,Whse 8,0,34.15,0
Product 2,6/11/2014,Whse 1,0,34.15,0
Product 2,6/11/2014,Whse 2,0,34.15,0
Product 2,6/11/2014,Whse 4,28,34.15,956.2
Product 2,6/11/2014,Whse 7,0,34.15,0
Product 2,6/11/2014,Whse 8,0,34.15,0
Product 2,6/12/2014,Whse 1,0,34.15,0
Product 2,6/12/2014,Whse 2,0,34.15,0
Product 2,6/12/2014,Whse 4,28,34.15,956.2
Product 2,6/12/2014,Whse 7,0,34.15,0
Product 2,6/12/2014,Whse 8,0,34.15,0
Product 2,6/13/2014,Whse 1,0,34.15,0
Product 2,6/13/2014,Whse 2,0,34.15,0
Product 2,6/13/2014,Whse 4,28,34.15,956.2
Product 2,6/13/2014,Whse 7,0,34.15,0
Product 2,6/13/2014,Whse 8,0,34.15,0
Product 2,6/16/2014,Whse 1,0,34.15,0
Product 2,6/16/2014,Whse 2,0,34.15,0
Product 2,6/16/2014,Whse 4,28,34.15,956.2
Product 2,6/16/2014,Whse 7,0,34.15,0
Product 2,6/16/2014,Whse 8,0,34.15,0
Product 2,6/17/2014,Whse 1,0,34.15,0
Product 2,6/17/2014,Whse 2,0,34.15,0
Product 2,6/17/2014,Whse 4,28,34.15,956.2
Product 2,6/17/2014,Whse 7,0,34.15,0
Product 2,6/17/2014,Whse 8,0,34.15,0
Product 2,6/18/2014,Whse 1,0,34.15,0
Product 2,6/18/2014,Whse 2,0,34.15,0
Product 2,6/18/2014,Whse 4,28,34.15,956.2
Product 2,6/18/2014,Whse 7,0,34.15,0
Product 2,6/18/2014,Whse 8,0,34.15,0
Product 2,6/19/2014,Whse 1,0,34.15,0
Product 2,6/19/2014,Whse 2,0,34.15,0
Product 2,6/19/2014,Whse 4,20,34.15,683
Product 2,6/19/2014,Whse 7,0,34.15,0
Product 2,6/19/2014,Whse 8,0,34.15,0
Product 2,6/20/2014,Whse 1,0,34.15,0
Product 2,6/20/2014,Whse 2,0,34.15,0
Product 2,6/20/2014,Whse 4,12,34.15,409.8
Product 2,6/20/2014,Whse 7,0,34.15,0
Product 2,6/20/2014,Whse 8,0,34.15,0
Product 2,6/23/2014,Whse 1,0,34.15,0
Product 2,6/23/2014,Whse 2,0,34.15,0
Product 2,6/23/2014,Whse 4,12,34.15,409.8
Product 2,6/23/2014,Whse 7,0,34.15,0
Product 2,6/23/2014,Whse 8,0,34.15,0
Product 2,6/24/2014,Whse 1,0,34.15,0
Product 2,6/24/2014,Whse 2,0,34.15,0
Product 2,6/24/2014,Whse 4,12,34.15,409.8
Product 2,6/24/2014,Whse 7,0,34.15,0
Product 2,6/24/2014,Whse 8,0,34.15,0
Product 2,6/25/2014,Whse 1,0,34.15,0
Product 2,6/25/2014,Whse 2,0,34.15,0
Product 2,6/25/2014,Whse 4,12,34.15,409.8
Product 2,6/25/2014,Whse 7,0,34.15,0
Product 2,6/25/2014,Whse 8,0,34.15,0
Product 2,6/26/2014,Whse 1,0,34.15,0
Product 2,6/26/2014,Whse 2,0,34.15,0
Product 2,6/26/2014,Whse 4,12,34.15,409.8
Product 2,6/26/2014,Whse 7,0,34.15,0
Product 2,6/26/2014,Whse 8,0,34.15,0
Product 2,6/27/2014,Whse 1,0,34.15,0
Product 2,6/27/2014,Whse 2,0,34.15,0
Product 2,6/27/2014,Whse 4,12,34.15,409.8
Product 2,6/27/2014,Whse 7,0,34.15,0
Product 2,6/27/2014,Whse 8,0,34.15,0
Product 2,6/30/2014,Whse 1,0,34.15,0
Product 2,6/30/2014,Whse 2,0,34.15,0
Product 2,6/30/2014,Whse 4,12,34.15,409.8
Product 2,6/30/2014,Whse 7,0,34.15,0
Product 2,6/30/2014,Whse 8,0,34.15,0
Product 8,6/2/2014,Whse 1,29,34.15,990.35
Product 8,6/2/2014,Whse 2,0,34.15,0
Product 8,6/2/2014,Whse 4,129,34.15,4405.35
Product 8,6/2/2014,Whse 7,0,34.15,0
Product 8,6/2/2014,Whse 8,2,34.15,68.3
Product 8,6/4/2014,Whse 1,29,34.15,990.35
Product 8,6/4/2014,Whse 2,0,34.15,0
Product 8,6/4/2014,Whse 4,129,34.15,4405.35
Product 8,6/4/2014,Whse 7,0,34.15,0
Product 8,6/4/2014,Whse 8,2,34.15,68.3
Product 8,6/5/2014,Whse 1,29,34.15,990.35
Product 8,6/5/2014,Whse 2,0,34.15,0
Product 8,6/5/2014,Whse 4,129,34.15,4405.35
Product 8,6/5/2014,Whse 7,0,34.15,0
Product 8,6/5/2014,Whse 8,2,34.15,68.3
Product 8,6/6/2014,Whse 1,29,34.15,990.35
Product 8,6/6/2014,Whse 2,0,34.15,0
Product 8,6/6/2014,Whse 4,112,34.15,3824.8
Product 8,6/6/2014,Whse 7,0,34.15,0
Product 8,6/6/2014,Whse 8,2,34.15,68.3
Product 8,6/9/2014,Whse 1,23,34.15,785.45
Product 8,6/9/2014,Whse 2,0,34.15,0
Product 8,6/9/2014,Whse 4,112,34.15,3824.8
Product 8,6/9/2014,Whse 7,0,34.15,0
Product 8,6/9/2014,Whse 8,2,34.15,68.3
Product 8,6/10/2014,Whse 1,23,34.15,785.45
Product 8,6/10/2014,Whse 2,0,34.15,0
Product 8,6/10/2014,Whse 4,112,34.15,3824.8
Product 8,6/10/2014,Whse 7,0,34.15,0
Product 8,6/10/2014,Whse 8,2,34.15,68.3
Product 8,6/11/2014,Whse 1,23,34.15,785.45
Product 8,6/11/2014,Whse 2,0,34.15,0
Product 8,6/11/2014,Whse 4,112,34.15,3824.8
Product 8,6/11/2014,Whse 7,0,34.15,0
Product 8,6/11/2014,Whse 8,2,34.15,68.3
Product 8,6/12/2014,Whse 1,23,34.15,785.45
Product 8,6/12/2014,Whse 2,0,34.15,0
Product 8,6/12/2014,Whse 4,112,34.15,3824.8
Product 8,6/12/2014,Whse 7,0,34.15,0
Product 8,6/12/2014,Whse 8,2,34.15,68.3
Product 8,6/13/2014,Whse 1,23,34.15,785.45
Product 8,6/13/2014,Whse 2,0,34.15,0
Product 8,6/13/2014,Whse 4,112,34.15,3824.8
Product 8,6/13/2014,Whse 7,0,34.15,0
Product 8,6/13/2014,Whse 8,2,34.15,68.3
Product 8,6/16/2014,Whse 1,23,34.15,785.45
Product 8,6/16/2014,Whse 2,0,34.15,0
Product 8,6/16/2014,Whse 4,112,34.15,3824.8
Product 8,6/16/2014,Whse 7,0,34.15,0
Product 8,6/16/2014,Whse 8,2,34.15,68.3
Product 8,6/17/2014,Whse 1,23,34.15,785.45
Product 8,6/17/2014,Whse 2,0,34.15,0
Product 8,6/17/2014,Whse 4,112,34.15,3824.8
Product 8,6/17/2014,Whse 7,0,34.15,0
Product 8,6/17/2014,Whse 8,2,34.15,68.3
Product 8,6/18/2014,Whse 1,22,34.15,751.3
Product 8,6/18/2014,Whse 2,0,34.15,0
Product 8,6/18/2014,Whse 4,108,34.15,3688.2
Product 8,6/18/2014,Whse 7,0,34.15,0
Product 8,6/18/2014,Whse 8,2,34.15,68.3
Product 8,6/19/2014,Whse 1,18,34.15,614.7
Product 8,6/19/2014,Whse 2,0,34.15,0
Product 8,6/19/2014,Whse 4,90,34.15,3073.5
Product 8,6/19/2014,Whse 7,0,34.15,0
Product 8,6/19/2014,Whse 8,2,34.15,68.3
Product 8,6/20/2014,Whse 1,10,34.15,341.5
Product 8,6/20/2014,Whse 2,0,34.15,0
Product 8,6/20/2014,Whse 4,73,34.15,2492.95
Product 8,6/20/2014,Whse 7,0,34.15,0
Product 8,6/20/2014,Whse 8,0,34.15,0
Product 8,6/23/2014,Whse 1,4,34.15,136.6
Product 8,6/23/2014,Whse 2,0,34.15,0
Product 8,6/23/2014,Whse 4,26,34.15,887.9
Product 8,6/23/2014,Whse 7,0,34.15,0
Product 8,6/23/2014,Whse 8,0,34.15,0
Product 8,6/24/2014,Whse 1,4,34.15,136.6
Product 8,6/24/2014,Whse 2,0,34.15,0
Product 8,6/24/2014,Whse 4,25,34.15,853.75
Product 8,6/24/2014,Whse 7,0,34.15,0
Product 8,6/24/2014,Whse 8,0,34.15,0
Product 8,6/25/2014,Whse 1,4,34.15,136.6
Product 8,6/25/2014,Whse 2,0,34.15,0
Product 8,6/25/2014,Whse 4,25,34.15,853.75
Product 8,6/25/2014,Whse 7,0,34.15,0
Product 8,6/25/2014,Whse 8,0,34.15,0
Product 8,6/26/2014,Whse 1,4,34.15,136.6
Product 8,6/26/2014,Whse 2,0,34.15,0
Product 8,6/26/2014,Whse 4,25,34.15,853.75
Product 8,6/26/2014,Whse 7,0,34.15,0
Product 8,6/26/2014,Whse 8,0,34.15,0
Product 8,6/27/2014,Whse 1,4,34.15,136.6
Product 8,6/27/2014,Whse 2,0,34.15,0
Product 8,6/27/2014,Whse 4,25,34.15,853.75
Product 8,6/27/2014,Whse 7,0,34.15,0
Product 8,6/27/2014,Whse 8,0,34.15,0
Product 8,6/30/2014,Whse 1,4,34.15,136.6
Product 8,6/30/2014,Whse 2,0,34.15,0
Product 8,6/30/2014,Whse 4,25,34.15,853.75
Product 8,6/30/2014,Whse 7,0,34.15,0
Product 8,6/30/2014,Whse 8,0,34.15,0
Product 3,6/2/2014,Whse 1,0,34.15,0
Product 3,6/2/2014,Whse 2,0,34.15,0
Product 3,6/2/2014,Whse 4,0,34.15,0
Product 3,6/2/2014,Whse 7,0,34.15,0
Product 3,6/2/2014,Whse 8,0,34.15,0
Product 3,6/4/2014,Whse 1,0,34.15,0
Product 3,6/4/2014,Whse 2,0,34.15,0
Product 3,6/4/2014,Whse 4,0,34.15,0
Product 3,6/4/2014,Whse 7,0,34.15,0
Product 3,6/4/2014,Whse 8,0,34.15,0
Product 3,6/5/2014,Whse 1,0,34.15,0
Product 3,6/5/2014,Whse 2,0,34.15,0
Product 3,6/5/2014,Whse 4,0,34.15,0
Product 3,6/5/2014,Whse 7,0,34.15,0
Product 3,6/5/2014,Whse 8,0,34.15,0
Product 3,6/6/2014,Whse 1,0,34.15,0
Product 3,6/6/2014,Whse 2,0,34.15,0
Product 3,6/6/2014,Whse 4,0,34.15,0
Product 3,6/6/2014,Whse 7,0,34.15,0
Product 3,6/6/2014,Whse 8,0,34.15,0
Product 3,6/9/2014,Whse 1,0,34.15,0
Product 3,6/9/2014,Whse 2,0,34.15,0
Product 3,6/9/2014,Whse 4,0,34.15,0
Product 3,6/9/2014,Whse 7,0,34.15,0
Product 3,6/9/2014,Whse 8,0,34.15,0
Product 3,6/10/2014,Whse 1,0,34.15,0
Product 3,6/10/2014,Whse 2,0,34.15,0
Product 3,6/10/2014,Whse 4,0,34.15,0
Product 3,6/10/2014,Whse 7,0,34.15,0
Product 3,6/10/2014,Whse 8,0,34.15,0
Product 3,6/11/2014,Whse 1,0,34.15,0
Product 3,6/11/2014,Whse 2,0,34.15,0
Product 3,6/11/2014,Whse 4,0,34.15,0
Product 3,6/11/2014,Whse 7,0,34.15,0
Product 3,6/11/2014,Whse 8,0,34.15,0
Product 3,6/12/2014,Whse 1,0,34.15,0
Product 3,6/12/2014,Whse 2,0,34.15,0
Product 3,6/12/2014,Whse 4,0,34.15,0
Product 3,6/12/2014,Whse 7,0,34.15,0
Product 3,6/12/2014,Whse 8,0,34.15,0
Product 3,6/13/2014,Whse 1,0,34.15,0
Product 3,6/13/2014,Whse 2,0,34.15,0
Product 3,6/13/2014,Whse 4,0,34.15,0
Product 3,6/13/2014,Whse 7,0,34.15,0
Product 3,6/13/2014,Whse 8,0,34.15,0
Product 3,6/16/2014,Whse 1,0,34.15,0
Product 3,6/16/2014,Whse 2,0,34.15,0
Product 3,6/16/2014,Whse 4,0,34.15,0
Product 3,6/16/2014,Whse 7,0,34.15,0
Product 3,6/16/2014,Whse 8,0,34.15,0
Product 3,6/17/2014,Whse 1,0,34.15,0
Product 3,6/17/2014,Whse 2,0,34.15,0
Product 3,6/17/2014,Whse 4,0,34.15,0
Product 3,6/17/2014,Whse 7,0,34.15,0
Product 3,6/17/2014,Whse 8,0,34.15,0
Product 3,6/18/2014,Whse 1,0,34.15,0
Product 3,6/18/2014,Whse 2,0,34.15,0
Product 3,6/18/2014,Whse 4,0,34.15,0
Product 3,6/18/2014,Whse 7,0,34.15,0
Product 3,6/18/2014,Whse 8,0,34.15,0
Product 3,6/19/2014,Whse 1,0,34.15,0
Product 3,6/19/2014,Whse 2,0,34.15,0
Product 3,6/19/2014,Whse 4,0,34.15,0
Product 3,6/19/2014,Whse 7,0,34.15,0
Product 3,6/19/2014,Whse 8,0,34.15,0
Product 3,6/20/2014,Whse 1,0,34.15,0
Product 3,6/20/2014,Whse 2,0,34.15,0
Product 3,6/20/2014,Whse 4,0,34.15,0
Product 3,6/20/2014,Whse 7,0,34.15,0
Product 3,6/20/2014,Whse 8,0,34.15,0
Product 3,6/23/2014,Whse 1,0,34.15,0
Product 3,6/23/2014,Whse 2,0,34.15,0
Product 3,6/23/2014,Whse 4,0,34.15,0
Product 3,6/23/2014,Whse 7,0,34.15,0
Product 3,6/23/2014,Whse 8,0,34.15,0
Product 3,6/24/2014,Whse 1,0,34.15,0
Product 3,6/24/2014,Whse 2,0,34.15,0
Product 3,6/24/2014,Whse 4,0,34.15,0
Product 3,6/24/2014,Whse 7,0,34.15,0
Product 3,6/24/2014,Whse 8,0,34.15,0
Product 3,6/25/2014,Whse 1,0,34.15,0
Product 3,6/25/2014,Whse 2,0,34.15,0
Product 3,6/25/2014,Whse 4,0,34.15,0
Product 3,6/25/2014,Whse 7,0,34.15,0
Product 3,6/25/2014,Whse 8,0,34.15,0
Product 3,6/26/2014,Whse 1,0,34.15,0
Product 3,6/26/2014,Whse 2,0,34.15,0
Product 3,6/26/2014,Whse 4,0,34.15,0
Product 3,6/26/2014,Whse 7,0,34.15,0
Product 3,6/26/2014,Whse 8,0,34.15,0
Product 3,6/27/2014,Whse 1,0,34.15,0
Product 3,6/27/2014,Whse 2,0,34.15,0
Product 3,6/27/2014,Whse 4,0,34.15,0
Product 3,6/27/2014,Whse 7,0,34.15,0
Product 3,6/27/2014,Whse 8,0,34.15,0
Product 3,6/30/2014,Whse 1,0,34.15,0
Product 3,6/30/2014,Whse 2,0,34.15,0
Product 3,6/30/2014,Whse 4,0,34.15,0
Product 3,6/30/2014,Whse 7,0,34.15,0
Product 3,6/30/2014,Whse 8,0,34.15,0
Product 7,6/2/2014,Whse 1,71,34.15,2424.65
Product 7,6/2/2014,Whse 2,0,34.15,0
Product 7,6/2/2014,Whse 4,16,34.15,546.4
Product 7,6/2/2014,Whse 7,0,34.15,0
Product 7,6/2/2014,Whse 8,5,34.15,170.75
Product 7,6/4/2014,Whse 1,71,34.15,2424.65
Product 7,6/4/2014,Whse 2,0,34.15,0
Product 7,6/4/2014,Whse 4,16,34.15,546.4
Product 7,6/4/2014,Whse 7,0,34.15,0
Product 7,6/4/2014,Whse 8,5,34.15,170.75
Product 7,6/5/2014,Whse 1,71,34.15,2424.65
Product 7,6/5/2014,Whse 2,0,34.15,0
Product 7,6/5/2014,Whse 4,13,34.15,443.95
Product 7,6/5/2014,Whse 7,0,34.15,0
Product 7,6/5/2014,Whse 8,2,34.15,68.3
Product 7,6/6/2014,Whse 1,70,34.15,2390.5
Product 7,6/6/2014,Whse 2,0,34.15,0
Product 7,6/6/2014,Whse 4,3,34.15,102.45
Product 7,6/6/2014,Whse 7,0,34.15,0
Product 7,6/6/2014,Whse 8,2,34.15,68.3
Product 7,6/9/2014,Whse 1,64,34.15,2185.6
Product 7,6/9/2014,Whse 2,0,34.15,0
Product 7,6/9/2014,Whse 4,3,34.15,102.45
